,"('b_heat_source', 'heat_pump')","('bel', 'demand_el')","('bel', 'excess_el')","('bel', 'heat_pump')","('bth', 'demand_th')","('coal', 'pp_coal')","('gas', 'pp_chp')","('gas', 'pp_gas')","('heat_pump', 'bth')","('heat_source', 'b_heat_source')","('lignite', 'pp_lig')","('oil', 'pp_oil')","('pp_chp', 'bel')","('pp_chp', 'bth')","('pp_coal', 'bel')","('pp_gas', 'bel')","('pp_lig', 'bel')","('pp_oil', 'bel')","('pv', 'bel')","('wind', 'bel')"
2016-01-01 00:00:00,1.6431411,52.169652708499996,0.0,0.82157056,5.877809352000001,51.794872,8.5327442,0.0,2.4647117,1.6431411,28.780488,0.0,2.5598233,3.4130977,20.2,0.0,11.8,0.0,0.0,18.4314
2016-01-01 01:00:00,1.8227576,52.169652708499996,0.0,0.91137882,6.001778484,51.794872,8.1691051,0.0,2.7341365,1.8227576,28.780488,0.0,2.4507315,3.267642,20.2,0.0,11.8,0.0,0.0,18.630300000000002
2016-01-01 02:00:00,4.1846898,47.39264354549999,0.0,2.0923449,6.277034732,48.518176,-0.0,0.0,6.2770347,4.1846898,28.780488,0.0,0.0,0.0,18.922088,0.0,11.8,0.0,0.0,18.762900000000002
2016-01-01 03:00:00,4.6413436,45.1977720155,0.0,2.3206718,6.962015368000001,43.475753,-0.0,0.0,6.9620154,4.6413436,28.780488,0.0,0.0,0.0,16.955544,0.0,11.8,0.0,0.0,18.762900000000002
2016-01-01 04:00:00,5.8003648,44.1897892645,0.0,2.9001824,8.700547176,47.647107,-0.0,0.0,8.7005472,5.8003648,28.780488,0.0,0.0,0.0,18.582372,0.0,11.8,0.0,0.0,16.7076
